Rank,Team,Mu,Sigma,Conservative Score,OPR,DPR,CCVM,Win Percentage
121,2011E,36.31,1.43,32.02,15.09,2.87,12.22,69.05
122,334U,36.1,1.36,32.02,20.4,-0.01,20.42,72.87
123,67002F,37.63,1.87,32.02,14.87,-0.5,15.37,82.39
124,248D,36.37,1.45,32.01,17.23,1.94,15.29,72.17
125,87490A,37.41,1.8,32.0,15.27,-0.93,16.2,80.25
126,60883W,35.65,1.22,31.99,17.29,0.3,16.99,71.91
127,16610A,36.47,1.51,31.95,18.39,2.06,16.33,73.66
128,20002G,37.8,1.96,31.93,15.6,1.44,14.17,76.92
129,10278A,36.35,1.48,31.92,15.49,1.72,13.78,75.83
130,2669A,36.94,1.67,31.92,22.07,2.46,19.62,78.47
131,11591S,36.89,1.66,31.92,14.81,1.1,13.71,68.52
132,1590A,35.89,1.34,31.88,18.44,-0.37,18.81,73.33
133,20480Y,36.98,1.7,31.87,17.25,-1.22,18.47,76.19
134,54008D,37.0,1.71,31.87,20.57,3.17,17.4,77.89
135,3796F,36.76,1.63,31.86,18.73,1.84,16.89,78.65
136,81785G,38.58,2.25,31.85,15.79,0.46,15.33,86.44
137,6219B,36.54,1.57,31.84,17.34,2.23,15.11,80.5
138,46846T,36.89,1.68,31.84,13.57,-1.33,14.9,79.12
139,1023E,35.85,1.34,31.82,18.49,2.71,15.77,75.19
140,54008A,36.86,1.68,31.82,24.87,1.76,23.11,76.19
141,2072A,35.41,1.2,31.82,15.0,4.3,10.7,70.27
142,2915X,36.94,1.71,31.8,17.13,3.57,13.56,79.26
143,4139B,37.78,2.0,31.79,13.55,2.46,11.1,82.76
144,5956B,36.3,1.5,31.78,18.32,3.31,15.01,79.27
145,94517X,35.95,1.39,31.78,20.04,2.4,17.65,72.61
146,938X,36.09,1.44,31.77,17.31,1.67,15.63,77.42
147,62629Y,36.66,1.64,31.75,19.79,-1.44,21.23,77.67
148,7316R,36.24,1.5,31.75,18.64,0.9,17.74,75.0
149,63975D,35.62,1.29,31.75,14.1,2.94,11.16,68.92
150,1460T,36.72,1.66,31.73,13.27,-0.83,14.1,76.7
151,3134R,35.89,1.39,31.71,16.86,5.04,11.81,75.0
152,248A,35.73,1.34,31.7,17.25,0.6,16.66,66.54
153,84260V,37.55,1.95,31.7,16.64,-2.8,19.44,80.33
154,393V,36.32,1.55,31.67,19.89,0.48,19.41,77.03
155,8198X,36.01,1.45,31.66,19.26,3.55,15.71,71.9
156,80550F,35.81,1.39,31.64,17.1,0.7,16.4,69.91
157,24118E,36.46,1.61,31.64,20.71,-0.37,21.08,78.49
158,6403Z,35.52,1.31,31.6,17.5,0.95,16.54,75.16
159,9821A,36.34,1.59,31.58,17.65,1.16,16.49,78.28
160,84260B,36.75,1.73,31.57,13.13,0.76,12.37,75.62
161,538S,37.18,1.87,31.56,17.51,-0.7,18.22,69.4
162,77774V,37.79,2.08,31.55,17.87,2.24,15.63,81.48
163,12C,35.99,1.49,31.52,14.39,3.27,11.12,71.1
164,99397A,36.34,1.61,31.51,19.71,-1.32,21.03,77.01
165,7580P,36.37,1.62,31.49,16.43,1.59,14.85,67.81
166,7830C,37.42,1.98,31.48,13.24,0.9,12.33,82.31
167,10009A,35.6,1.37,31.48,19.83,1.65,18.18,69.62
168,16689D,35.92,1.48,31.48,17.07,-1.54,18.61,71.35
169,1585B,36.46,1.67,31.45,18.88,0.13,18.75,78.95
170,1011X,35.88,1.48,31.44,19.08,1.79,17.29,74.77
171,6277B,36.07,1.55,31.42,14.87,1.53,13.34,75.69
172,57249C,35.5,1.37,31.38,15.79,1.4,14.38,74.23
173,5203G,36.19,1.61,31.36,22.11,-1.22,23.33,71.34
174,1028Z,35.23,1.3,31.32,18.38,6.08,12.3,74.84
175,13889X,37.08,1.92,31.32,18.83,0.61,18.22,75.38
176,6008D,35.12,1.28,31.29,15.39,1.78,13.61,72.73
177,957Y,36.4,1.72,31.25,20.27,2.83,17.44,74.39
178,31617Z,36.41,1.73,31.22,14.54,0.7,13.84,72.54
179,9364A,36.89,1.89,31.21,15.62,5.39,10.23,76.39
180,96504P,35.47,1.42,31.21,17.97,0.23,17.75,73.75
181,9123C,37.07,1.96,31.19,23.76,3.71,20.06,76.56
182,8926W,35.86,1.56,31.18,17.54,1.52,16.01,75.96
183,8110W,35.75,1.53,31.16,16.79,0.38,16.41,75.0
184,1687C,35.87,1.58,31.14,18.77,2.12,16.65,75.48
185,10702X,36.13,1.66,31.13,16.34,1.26,15.08,78.71
186,3269A,36.01,1.63,31.11,17.29,-0.41,17.7,81.32
187,4214X,36.12,1.67,31.1,13.75,-0.23,13.98,75.66
188,7842Z,36.26,1.72,31.1,16.12,1.12,15.01,74.68
189,3141V,35.83,1.59,31.06,19.09,3.02,16.07,80.11
190,13358C,35.59,1.51,31.06,19.45,-0.04,19.49,71.51
191,945G,37.15,2.04,31.04,16.31,1.44,14.88,75.86
192,1802A,36.88,1.95,31.03,22.8,1.18,21.62,76.36
193,42700E,36.47,1.82,31.01,18.59,2.27,16.32,83.71
194,9039J,35.8,1.6,31.0,17.72,1.57,16.15,79.55
195,56727D,37.16,2.06,30.98,20.65,1.17,19.48,80.19
